sample_filename,DATE,TIME,TimeSec,IRRAD,Lon,Lat,GPS_stat,LEDSel,PAR,Light_2,Light_3,Light_4,Light_5,Light_6,ChiSq,Fo,Fm,Fv,FqFm,Fv/Fo,Sig,p,fmPQ,PQP_Size,Alp1QA,Tau1QA,Alp2QA,Tau2QA,Alp3QA,Tau3QA,Cx,TauQx,Alp1PQ,Tau1PQ,Alp2PQ,Tau2PQ,Alp3PQ,Tau3PQ,ETR,Alpha,Ek,Pmax,carQ,carQt,p680Q,p680Qt,S/N_RAT,fQB,PAR_3,PAR_4,PAR_5,PAR_6,TPQ_PSI,QBP_Size,sample_id,colony_id
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:39:26,1617313166451,0.00,0.0000,0.0000,NO DATA,'10000,0.00,0.00,0.00,0.00,0.00,0.00,695.109,599.822,1331.143,731.321,0.5494,1.2192,87.00,0.1741,0.000,5.366,0.000,721,0.000,1581,0.000,28160,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.306,388.35,118.65,0.090,35.00,0.000,600.00,7255.94,0.000,0.0,0.0,0.0,0.0,5248,1.7054,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:39:41,1617313181356,0.00,0.0000,0.0000,NO DATA,'10000,10.00,0.00,0.00,0.00,0.00,0.00,533.570,680.637,1343.161,662.524,0.4933,0.9734,87.77,0.2679,0.000,6.522,0.000,767,0.000,1370,0.000,15685,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.319,391.21,124.75,0.105,35.00,0.000,600.00,8928.64,0.000,0.0,0.0,0.0,0.0,2405,1.0000,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:39:54,1617313194016,0.00,0.0000,0.0000,NO DATA,'10000,10.00,0.00,0.00,0.00,0.00,0.00,285.968,675.530,1384.045,708.514,0.5119,1.0488,87.86,0.2706,0.000,6.426,0.000,605,0.000,1346,0.000,11856,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.325,471.26,152.94,0.125,35.00,0.000,600.00,7496.52,0.000,0.0,0.0,0.0,0.0,1845,1.0000,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:40:06,1617313206650,0.00,0.0000,0.0000,NO DATA,'10000,10.00,0.00,0.00,0.00,0.00,0.00,362.858,674.257,1382.544,708.287,0.5123,1.0505,87.63,0.2712,0.000,6.458,0.000,595,0.000,1352,0.000,11786,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.324,475.73,154.01,0.127,35.00,0.000,600.00,7820.53,0.000,0.0,0.0,0.0,0.0,1825,1.0000,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:40:21,1617313221394,0.00,0.0000,0.0000,NO DATA,'10000,25.00,0.00,0.00,0.00,0.00,0.00,320.673,726.586,1372.130,645.544,0.4705,0.8885,84.76,0.2523,0.000,6.817,0.000,929,0.000,1602,0.000,15862,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.344,379.84,130.76,0.106,35.00,0.000,600.00,7161.81,0.000,0.0,0.0,0.0,0.0,2327,1.0000,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:40:34,1617313234035,0.00,0.0000,0.0000,NO DATA,'10000,25.00,0.00,0.00,0.00,0.00,0.00,379.544,715.171,1371.669,656.498,0.4786,0.9180,85.66,0.2341,0.000,6.775,0.000,932,0.000,1517,0.000,12021,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.339,436.68,147.94,0.101,35.00,0.000,600.00,7995.65,0.000,0.0,0.0,0.0,0.0,1774,1.0000,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:40:46,1617313246646,0.00,0.0000,0.0000,NO DATA,'10000,25.00,0.00,0.00,0.00,0.00,0.00,369.138,712.776,1370.108,657.333,0.4798,0.9222,85.69,0.2377,0.000,6.583,0.000,892,0.000,1491,0.000,11694,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.339,443.10,150.22,0.105,35.00,0.000,600.00,8031.60,0.000,0.0,0.0,0.0,0.0,1777,1.0000,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:41:01,1617313261374,0.00,0.0000,0.0000,NO DATA,'10000,50.00,0.00,0.00,0.00,0.00,0.00,381.278,766.838,1352.716,585.878,0.4331,0.7640,82.67,0.3010,0.000,5.594,0.000,954,0.000,1582,0.000,20696,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.450,300.46,135.11,0.110,35.00,0.000,600.00,7763.47,0.000,0.0,0.0,0.0,0.0,3699,1.0157,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:41:14,1617313273982,0.00,0.0000,0.0000,NO DATA,'10000,50.00,0.00,0.00,0.00,0.00,0.00,267.627,754.949,1353.196,598.247,0.4421,0.7924,83.78,0.2792,0.000,5.826,0.000,964,0.000,1439,0.000,15254,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.415,368.72,152.90,0.101,35.00,0.000,600.00,7146.79,0.000,0.0,0.0,0.0,0.0,2619,1.0000,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:41:26,1617313286604,0.00,0.0000,0.0000,NO DATA,'10000,50.00,0.00,0.00,0.00,0.00,0.00,183.100,751.991,1350.537,598.546,0.4432,0.7959,84.26,0.2726,0.000,5.870,0.000,970,0.000,1416,0.000,14596,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.411,378.87,155.64,0.099,35.00,0.000,600.00,5973.57,0.000,0.0,0.0,0.0,0.0,2487,1.0000,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:41:41,1617313301324,0.00,0.0000,0.0000,NO DATA,'10000,100.00,0.00,0.00,0.00,0.00,0.00,230.622,847.642,1327.865,480.223,0.3617,0.5665,77.56,0.3294,0.000,2.904,0.000,1299,0.000,2636,0.000,26826,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.812,192.96,156.70,0.103,35.00,0.000,600.00,6481.36,0.000,0.0,0.0,0.0,0.0,9238,1.3725,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:41:54,1617313313994,0.00,0.0000,0.0000,NO DATA,'10000,100.00,0.00,0.00,0.00,0.00,0.00,232.096,830.335,1335.096,504.762,0.3781,0.6079,79.04,0.3208,0.000,3.665,0.000,1179,0.000,2146,0.000,23747,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.696,246.30,171.54,0.101,35.00,0.000,600.00,6503.62,0.000,0.0,0.0,0.0,0.0,6480,1.3147,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:42:06,1617313326629,0.00,0.0000,0.0000,NO DATA,'10000,100.00,0.00,0.00,0.00,0.00,0.00,442.275,824.605,1336.376,511.770,0.3830,0.6206,80.03,0.3208,0.000,3.986,0.000,1132,0.000,1996,0.000,22503,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,0.666,266.86,177.71,0.101,35.00,0.000,600.00,8765.60,0.000,0.0,0.0,0.0,0.0,5646,1.2852,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:42:21,1617313341386,0.00,0.0000,0.0000,NO DATA,'10000,150.00,0.00,0.00,0.00,0.00,0.00,363.463,901.938,1335.121,433.183,0.3245,0.4803,75.46,0.3414,0.000,2.381,0.000,1373,0.000,3312,0.000,27113,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,1.109,180.16,199.76,0.098,35.00,0.000,600.00,8436.41,0.000,0.0,0.0,0.0,0.0,11387,1.5463,E1,E
C:\LIFT\DATA\Heron_2021\E1_data.csv,2021/04/02,08:42:34,1617313354007,0.00,0.0000,0.0000,NO DATA,'10000,150.00,0.00,0.00,0.00,0.00,0.00,227.024,889.525,1333.328,443.803,0.3329,0.4989,76.22,0.3352,0.000,2.757,0.000,1317,0.000,2967,0.000,26505,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,1.003,206.21,206.91,0.096,35.00,0.000,600.00,6749.78,0.000,0.0,0.0,0.0,0.0,9615,1.5419,E1,E
