sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
139359	H27	H27_S171_L001_R1_001.fastq.gz	dbf61154c14dce0154d9d47acd87469a7d5b2d1161870f3365ebb9072b9e0cf1	H27_S171_L001_R2_001.fastq.gz	e68e6db0e385a3c4b179d0b2bb6a3bfb76f97190ca12efdf7bbfa9e80980be62	670	20211115_nitschke	52074	45191	533	45035	530	156	3	0	0	43998	8	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139379	H45	H45_S189_L001_R1_001.fastq.gz	d2b1f65f6b9bdf8217356c80a0881a4383b3ec2864f592c575530f527e7cbc56	H45_S189_L001_R2_001.fastq.gz	c9882bbe7bcba8627945e4b9ae22d817b7f50d97592d0b3a53401bd184ed001f	670	20211115_nitschke	48146	42829	466	42722	464	107	2	0	0	41923	7	0	0	4	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139252	F17	F17_S65_L001_R1_001.fastq.gz	e4420375ed518b611a2c998fdc10dc1745e42426a113774ba0f8df0b01e4f7dc	F17_S65_L001_R2_001.fastq.gz	a4c8e0aaaec86fa7f7682ef770d81f69511ed59cdb20bfe58b1a3980ae8c4e52	670	20211115_nitschke	52095	46412	510	46347	508	65	2	0	0	45707	7	0	0	0	203	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139374	H40	H40_S184_L001_R1_001.fastq.gz	c7b8cc0bac1aa4f00dbdf13168ceca15249f59cb20fc2b02294e00ea6db80bbe	H40_S184_L001_R2_001.fastq.gz	4ba4734b8edb4dfd5015accc52f7f2213f599fc4dfe6a306c90a28db0eda8ff7	670	20211115_nitschke	49332	42660	576	42553	573	107	3	0	0	41767	9	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139370	H37	H37_S181_L001_R1_001.fastq.gz	cabc8fd425c36ab1e7ce546adc5f9614413c9549da6e6848c4c48e5a4186130d	H37_S181_L001_R2_001.fastq.gz	bef953e52289515be1e15a5458f2a7d2d736f63be81930bf5a6f6bf4e5c9fe28	670	20211115_nitschke	64695	57990	595	57838	593	152	2	0	0	56822	9	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139257	F21	F21_S69_L001_R1_001.fastq.gz	1b63b0c8e989095b0014822ae7f2f0c8dfdfbd5dab45b01d6543304e5eccd955	F21_S69_L001_R2_001.fastq.gz	63f6735c4a6a2a8e30fbc6270fa70fe1a8e95e8ef667d8b9e404189058bd4b1e	670	20211115_nitschke	61262	54139	583	53971	581	168	2	0	0	52322	10	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139300	G17	G17_S113_L001_R1_001.fastq.gz	98c8dcd909bad209bb41927d15df844fdb42ad940f724cd86c9b862e181b01ec	G17_S113_L001_R2_001.fastq.gz	9b3c7980eb3c7974e124d9d6cef3c0179f712ec6e8014583fdf1d45127822fcb	670	20211115_nitschke	49263	43940	485	43859	484	81	1	0	0	42827	6	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139246	F11	F11_S59_L001_R1_001.fastq.gz	8e0e73b6b0ae50717eb475e945a9a944b0f8869b4ddcddef03ec330b12b91d77	F11_S59_L001_R2_001.fastq.gz	12cb9ff9ff8f8034682687618140f583826978750afd5b4090426013bf8cb5df	670	20211115_nitschke	27629	24134	310	24079	309	55	1	0	0	23454	6	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139368	H35	H35_S179_L001_R1_001.fastq.gz	9db67d1b7c6c1efd2b86bb6dec90e24fef8a2d5d3936e19286c74602d75674e6	H35_S179_L001_R2_001.fastq.gz	b7b75977314c81d791e8ac8933c3ac266222a3d7545f6e18b297e3e5003bf2da	670	20211115_nitschke	65233	58637	615	58493	611	144	4	0	0	57582	13	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139376	H42	H42_S186_L001_R1_001.fastq.gz	94b6f99b214e5b07ac03f7f0d28bf09b2e010c02adf2231e558468f81944f924	H42_S186_L001_R2_001.fastq.gz	9f9fb23678559d60fc00e8921b2d008e5b7f7fc1712a7365228f9c40e3a31a89	670	20211115_nitschke	64753	57737	562	57558	560	179	2	0	0	56665	9	0	0	16	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
