sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A5a	B1	C50b	C3	C50p	C3vz	C3wa	21139_C	C50f	C50w	C3bm	C50v	22143_C	C50ar	C21	C50aq	C3cl	C3b	20938_C	20935_C	451893_C	22149_C	C50as	20944_C	C50at	1995833_C	2553_C	C3dt	C50ap	C3gj	22151_C	C3de	C3kj	C3uq	2555_C	C3.11	1058277_C	C21.12	C3my	268006_C	C50a	C3.10	452157_C	63350_C	1707846_C	C3ng	C21ab	451935_C	C21ba	C3nf	267002_C	C3tq	21670_C	1995834_C	412_C	452009_C	C3k	20942_C	20978_C	2091_C	C39ab	C3fj	21808_C	C3nc	C1	C3of	21813_C	1770466_C	C3rn	C3hv	C3nb	20970_C	21136_C	21810_C	C3ua	C3cp	C42co	67030_C	1059285_C	20910_C	20936_C	C3tc	C3gl	20962_C	21000_C	C18a	1995831_C	20973_C	C54b	1995839_C	38892_C	21899_C	1995840_C	72453_C	72402_C	64968_C	72452_C	21134_C	267906_C	267007_C	1995842_C	20931_C	21816_C	C3vt	20971_C	72406_C	22148_C	C21ce	21812_C	1995844_C	1995846_C	23943_C	20937_C	266590_C	21646_C	21133_C	1995853_C	47699_C	21806_C	1995847_C	46311_C	268060_C	268195_C	C15sy	23697_C	1995845_C	21150_C	72408_C	1058016_C	C3ij	451895_C	C3bd	266597_C	20998_C	1995843_C	C3ii	C3.9	1995850_C	47471_C	20946_C	20943_C	20955_C	1995830_C	1995854_C	37215_C	935277_C	915689_C	453499_C	37219_C	1995838_C	1995837_C	1995836_C	1995835_C	1060191_C	873145_C	1995852_C	263123_C	72387_C	46312_C	1995841_C	1995832_C	1995848_C	21138_C	279825_C	63349_C	943150_C	1995851_C	448046_C	1995849_C	1059675_C	D1	D1u	D4	D1jw	D2	D2.2	D1bq	D1gr	223593_D	D4i	22785_D	1995829_D	71632_D	24647_D	23241_D	66415_D	20197_D	104598_D	13744_D	13138_D	D1fw	D1id	14369_D	451231_D	14203_D	7559_D	104772_D	66235_D
139359	H27	H27_S171_L001_R1_001.fastq.gz	dbf61154c14dce0154d9d47acd87469a7d5b2d1161870f3365ebb9072b9e0cf1	H27_S171_L001_R2_001.fastq.gz	e68e6db0e385a3c4b179d0b2bb6a3bfb76f97190ca12efdf7bbfa9e80980be62	670	20211115_nitschke	1.1835537978999044	1.0271148688576754	0.012114187008500386	1.0235692531478704	0.012046002091004137	0.003545615709804991	6.818491749624983e-05	0.0	0.0	1.0	0.00018182644665666622	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	0.0007045774807945816	0.00011364152916041638	0	9.091322332833311e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.700054547933997	0.14793854266103004	0.07102595572526024	0.06532115096140734	0.014750670485022047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139379	H45	H45_S189_L001_R1_001.fastq.gz	d2b1f65f6b9bdf8217356c80a0881a4383b3ec2864f592c575530f527e7cbc56	H45_S189_L001_R2_001.fastq.gz	c9882bbe7bcba8627945e4b9ae22d817b7f50d97592d0b3a53401bd184ed001f	670	20211115_nitschke	1.1484388044748706	1.0216110488276124	0.01111561672590225	1.0190587505665147	0.01106791021634902	0.002552298261097727	4.770650955322854e-05	0.0	0.0	1.0	0.0001669727834362999	0	0	9.541301910645707e-05	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	0.0008825704267347279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.541301910645707e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7078691887508051	0.1476277938124657	0.06531021157836987	0.06294873935548506	0.015266083057033131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139252	F17	F17_S65_L001_R1_001.fastq.gz	e4420375ed518b611a2c998fdc10dc1745e42426a113774ba0f8df0b01e4f7dc	F17_S65_L001_R2_001.fastq.gz	a4c8e0aaaec86fa7f7682ef770d81f69511ed59cdb20bfe58b1a3980ae8c4e52	670	20211115_nitschke	1.1397597742140153	1.0154243332531123	0.011158028310762028	1.014002231605662	0.011114271336994334	0.0014221016474500624	4.3756973767694225e-05	0.0	0.0	1.0	0.00015314940818692978	0	0	0	0.004441332837420964	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	0	0	0.00010939243441923557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6123788478788807	0.260879077602993	0.055943290961997065	0.05329599404905157	0.01295206423523749	0	0	0	0	0	0	0.004441332837420964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139374	H40	H40_S184_L001_R1_001.fastq.gz	c7b8cc0bac1aa4f00dbdf13168ceca15249f59cb20fc2b02294e00ea6db80bbe	H40_S184_L001_R2_001.fastq.gz	4ba4734b8edb4dfd5015accc52f7f2213f599fc4dfe6a306c90a28db0eda8ff7	670	20211115_nitschke	1.1811238537601456	1.0213805157181506	0.01379079177340963	1.0188186846074652	0.013718964732923122	0.0025618311106854696	7.182704048650849e-05	0.0	0.0	1.0	0.00021548112145952547	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	0.0015801948907031868	0.0004549045897478871	0	0	0.0001915387746306893	0	0	9.576938731534466e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7141523212105251	0.14008667129552038	0.0670625134675701	0.06076567625158618	0.015610410132401178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139370	H37	H37_S181_L001_R1_001.fastq.gz	cabc8fd425c36ab1e7ce546adc5f9614413c9549da6e6848c4c48e5a4186130d	H37_S181_L001_R2_001.fastq.gz	bef953e52289515be1e15a5458f2a7d2d736f63be81930bf5a6f6bf4e5c9fe28	670	20211115_nitschke	1.1385554890711345	1.020555418675865	0.010471296328886699	1.017880398437225	0.010436098694167752	0.0026750202386399634	3.5197634718946884e-05	0.0	0.0	1.0	0.00015838935623526098	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	0.0011615219457252472	0.00021118580831368133	0	7.039526943789377e-05	0.0001231917215163141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7133152652141777	0.1391538488613565	0.06314455668579072	0.06597796628066593	0.016842068213016086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139257	F21	F21_S69_L001_R1_001.fastq.gz	1b63b0c8e989095b0014822ae7f2f0c8dfdfbd5dab45b01d6543304e5eccd955	F21_S69_L001_R2_001.fastq.gz	63f6735c4a6a2a8e30fbc6270fa70fe1a8e95e8ef667d8b9e404189058bd4b1e	670	20211115_nitschke	1.1708650280952564	1.0347272657773021	0.011142540422766713	1.0315163793432973	0.011104315584266656	0.0032108864340048165	3.8224838500057336e-05	0.0	0.0	1.0	0.0001911241925002867	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	9.556209625014334e-05	0.0002484614502503727	0.0003631359657505447	0	0	0	0	0	0	7.644967700011467e-05	0	0	7.644967700011467e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6449294751729674	0.20708306257406062	0.07256985589235886	0.0569358969458354	0.01762165054852643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139300	G17	G17_S113_L001_R1_001.fastq.gz	98c8dcd909bad209bb41927d15df844fdb42ad940f724cd86c9b862e181b01ec	G17_S113_L001_R2_001.fastq.gz	9b3c7980eb3c7974e124d9d6cef3c0179f712ec6e8014583fdf1d45127822fcb	670	20211115_nitschke	1.1502790295841407	1.0259882784224905	0.011324631657599178	1.0240969481868913	0.011301281901604128	0.001891330235599038	2.3349755995049852e-05	0.0	0.0	1.0	0.0001400985359702991	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	0.00021014780395544867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6601676512480444	0.17617390898265115	0.08676769327760525	0.05814089242767413	0.018539706260069583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139246	F11	F11_S59_L001_R1_001.fastq.gz	8e0e73b6b0ae50717eb475e945a9a944b0f8869b4ddcddef03ec330b12b91d77	F11_S59_L001_R2_001.fastq.gz	12cb9ff9ff8f8034682687618140f583826978750afd5b4090426013bf8cb5df	670	20211115_nitschke	1.1780080156902875	1.0289929223160228	0.013217361644069243	1.0266479065404621	0.013174724993604503	0.002345015775560672	4.263665046473949e-05	0.0	0.0	1.0	0.00025581990278843696	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	0	0	0.00029845655325317646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6444529717745374	0.19126801398482135	0.0845484778715784	0.06084250021318325	0.018589579602626416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139368	H35	H35_S179_L001_R1_001.fastq.gz	9db67d1b7c6c1efd2b86bb6dec90e24fef8a2d5d3936e19286c74602d75674e6	H35_S179_L001_R2_001.fastq.gz	b7b75977314c81d791e8ac8933c3ac266222a3d7545f6e18b297e3e5003bf2da	670	20211115_nitschke	1.1328713834184294	1.01832169775277	0.010680420964884859	1.015820916258553	0.010610954812267722	0.0025007814942169426	6.94661526171373e-05	0.0	0.0	1.0	0.00022576499600569623	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	0.0022229168837483936	0.0002952311486228335	0.00010419922892570594	0.00024313153415998054	0	0	0	6.94661526171373e-05	0	0	0	0.00012156576707999027	0	6.94661526171373e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.94661526171373e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7024070021881839	0.14139835365218298	0.06710430342815463	0.06995241568545726	0.01594248202563301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139376	H42	H42_S186_L001_R1_001.fastq.gz	94b6f99b214e5b07ac03f7f0d28bf09b2e010c02adf2231e558468f81944f924	H42_S186_L001_R2_001.fastq.gz	9f9fb23678559d60fc00e8921b2d008e5b7f7fc1712a7365228f9c40e3a31a89	670	20211115_nitschke	1.1427336098120533	1.018918203476573	0.00991793876290479	1.015759287037854	0.009882643607164917	0.003158916438718786	3.5295155739874705e-05	0.0	0.0	1.0	0.00015882820082943616	0	0	0.00028236124591899764	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2	0	0	0.0018177005206035473	0	0	0	0	0.00019412335656931087	0	7.059031147974941e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.823788934968675e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7001323568340245	0.1467925527221389	0.0669019677049325	0.06674313950410306	0.01725933115679873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
